City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Lavrentiya,RU,65.58,-171.0,32.14,98,100,24.54,overcast clouds
288,Muyezerskiy,RU,63.93,31.65,33.19,89,17,13.69,few clouds
289,La Ronge,CA,55.1,-105.28,8.6,78,0,6.93,clear sky
290,Mogadishu,SO,2.04,45.34,84.2,62,40,12.75,scattered clouds
291,Tutoia,BR,-2.76,-42.27,88.93,57,19,16.24,few clouds
292,Strezhevoy,RU,60.73,77.59,32.0,99,90,5.77,light snow
293,Lompoc,US,34.64,-120.46,37.4,92,1,6.82,clear sky
294,George,ZA,-33.96,22.46,62.6,59,20,12.75,few clouds
295,Ketchikan,US,55.34,-131.65,42.8,100,90,10.29,light rain
296,Chiradzulu,MW,-15.67,35.14,96.8,20,20,8.05,few clouds
297,Klyuchi,RU,52.27,79.17,39.67,71,100,20.69,overcast clouds
298,Ahipara,NZ,-35.17,173.17,53.42,90,64,5.17,broken clouds
299,Yei,SS,4.09,30.68,75.15,87,31,2.26,light rain
300,Faanui,PF,-16.48,-151.75,78.12,82,75,17.6,broken clouds
301,Kochevo,RU,59.6,54.31,31.46,99,99,8.41,overcast clouds
302,Akureyri,IS,65.68,-18.09,42.8,75,40,9.17,scattered clouds
303,Strathmore,CA,51.05,-113.39,12.99,92,16,8.05,few clouds
304,Grand-Lahou,CI,5.14,-5.02,83.34,73,100,7.58,light rain
305,Hasaki,JP,35.73,140.83,50.0,66,20,10.29,few clouds
306,Aykhal,RU,66.0,111.5,8.6,92,90,13.42,light shower snow
307,Delijan,IR,33.99,50.68,55.18,49,23,2.71,few clouds
308,Amga,RU,60.9,131.96,-15.11,88,77,1.63,broken clouds
309,San Juan,AR,-31.54,-68.54,80.55,37,0,6.33,clear sky
310,Erenhot,CN,43.65,111.98,36.82,66,0,6.15,clear sky
311,Kulachi,PK,31.93,70.46,68.99,23,62,5.37,broken clouds
312,Salalah,OM,17.02,54.09,84.2,48,0,5.82,clear sky
313,Vaitape,PF,-16.52,-151.75,78.96,80,78,17.47,broken clouds
314,Mende,FR,44.67,3.5,59.0,67,75,11.41,broken clouds
315,Tucurui,BR,-3.77,-49.67,88.11,62,74,5.23,light rain
316,Katherine,AU,-14.47,132.27,89.6,52,6,11.41,clear sky
317,Marawi,PH,8.0,124.29,77.0,94,100,1.99,overcast clouds
318,Toora-Khem,RU,52.47,96.11,30.74,93,100,1.7,overcast clouds
319,Balkhash,KZ,46.84,74.98,42.35,64,100,17.4,overcast clouds
320,Roma,US,43.21,-75.46,62.01,70,1,3.36,clear sky
321,Nanortalik,GL,60.14,-45.24,26.53,96,100,15.28,light snow
322,Komsomolskiy,UZ,40.43,71.72,46.4,70,40,2.24,scattered clouds
323,Pathanamthitta,IN,9.27,76.78,76.89,90,65,0.96,light rain
324,Portland,US,45.52,-122.68,35.01,86,90,5.82,mist
325,Umtata,ZA,-31.59,28.78,55.4,93,90,12.75,light intensity drizzle
326,Robertson,US,36.52,-86.87,70.0,72,90,4.7,overcast clouds
327,Kirakira,SB,-10.45,161.92,80.62,81,71,4.38,light rain
328,Chuy,UY,-33.7,-53.46,69.15,61,100,11.16,overcast clouds
329,Merauke,ID,-8.47,140.33,79.88,83,100,15.61,overcast clouds
330,Tasiilaq,GL,65.61,-37.64,32.99,95,100,48.74,overcast clouds
331,Sola,VU,-13.88,167.55,81.63,80,96,8.52,overcast clouds
332,Timizart,DZ,36.8,4.27,69.96,59,100,6.73,overcast clouds
333,Tilichiki,RU,60.47,166.1,5.4,92,0,11.21,clear sky
334,Murray Bridge,AU,-35.12,139.27,73.0,39,0,3.0,clear sky
335,Harlingen,US,26.19,-97.7,75.0,100,1,3.36,clear sky
336,Hithadhoo,MV,-0.6,73.08,83.98,76,100,14.32,overcast clouds
337,Antalaha,MG,-14.9,50.28,74.93,86,36,9.33,light rain
338,Williamsport,US,41.24,-77.0,61.0,81,1,4.7,clear sky
339,Rockport,US,28.02,-97.05,75.99,94,20,3.36,few clouds
340,Aleksandriya,RU,45.09,43.25,50.18,76,0,5.12,clear sky
341,Byron Bay,AU,-28.65,153.62,60.8,93,90,8.05,overcast clouds
342,Port Blair,IN,11.67,92.75,81.12,81,0,9.37,clear sky
343,Khasan,RU,42.43,130.64,30.31,80,0,17.27,clear sky
344,Sorong,ID,-0.88,131.25,80.53,81,100,5.37,overcast clouds
345,Grindavik,IS,63.84,-22.43,46.4,93,90,24.16,light intensity drizzle
346,Longyearbyen,SJ,78.22,15.64,21.2,73,20,3.36,few clouds
347,Smithers,CA,54.78,-127.17,26.6,92,90,1.99,overcast clouds
348,Vestmannaeyjar,IS,63.44,-20.27,46.4,93,90,25.28,fog
349,Marsa Matruh,EG,31.35,27.25,68.0,77,75,11.41,broken clouds
350,Skjervoy,NO,70.03,20.97,37.4,79,90,20.8,light rain
351,Santa Cruz,BO,-17.8,-63.17,84.2,61,75,20.8,smoke
352,Gat,IL,31.61,34.76,75.0,71,5,9.42,clear sky
353,Kochi,IN,9.94,76.26,84.2,83,40,3.36,haze
354,Sao Felix Do Xingu,BR,-6.64,-51.99,93.45,43,98,3.98,overcast clouds
355,Bereda,ES,43.27,-7.54,62.01,84,45,8.99,scattered clouds
